e,178
i,134
n,126
a,100
_,96
o,83
s,82
t,80
g,80
r,69
d,66
l,61
i n,56
u,51
n g,51
i n g,43
p,40
c,34
e d,33
b,30
e s,25
h,24
f,23
w,22
y,21
d _,20
m,19
g _,19
s _,18
n g _,18
i n g _,17
e r,17
e n,17
e d _,17
v,16
t e,13
e e,13
e _,13
t i,11
i e,11
n i,10
n e,10
e t,10
e s _,10
d e,10
a t,10
_ a,10
v e,9
o u,9
e l,8
r i,7
r e,7
r a,7
n _,7
m e,7
e a,7
_ o,7
t a,6
s e,6
o o,6
o l,6
k e,6
i t,6
i c,6
c k,6
c h,6
a n,6
a k,6
a g,6
t e d,5
o n,5
k i n g,5
y s,4
t s,4
t i n g,4
r o,4
n g i,4
i n k,4
i d,4
h t,4
g h,4
e n _,4
c a,4
v i n g,3
u r,3
t i n g _,3
s s,3
r t,3
r b,3
p i n g,3
o p,3
o c,3
n n i,3
m e n,3
l i c a,3
k l,3
i v,3
i s,3
i e s,3
g i n,3
e r s,3
e e n,3
e d _ a,3
e c,3
e b,3
d s,3
d i,3
b e,3
a y,3
y i n g,2
y _,2
x,2
u s,2
u n,2
u g h,2
t e n,2
t _,2
s u,2
s i,2
s _ o,2
s _ a,2
p i n g _,2
p e d,2
o s,2
o k,2
o i,2
n u,2
n i n g,2
n a t i o,2
l i n g,2
l e d,2
l a b,2
k e s,2
k _,2
i n g i,2
i n g _ a,2
i n a t,2
i e d,2
h o u,2
g w i,2
g h t,2
g e d,2
f u,2
f t,2
f e l i,2
e v,2
e e s,2
e e i n g,2
d i n g,2
d e n,2
c i,2
b i n g,2
b e d,2
b a,2
a w,2
a v e,2
a n g,2
a k s,2
a k i n g,2
a i n,2
a _,2
z,1
y w a,1
y s _,1
y i n g _,1
y b,1
y a,1
v i n g _,1
v e s _,1
v e d _,1
v e _,1
u o,1
u n n i,1
u m,1
u c,1
u b t,1
t r o o,1
t r a l,1
t m e n,1
t m a s,1
t i n g _ o,1
t e n _,1
t c o a,1
t c h m e n t a,1
t a n,1
s t e,1
s o u ',1
s o l,1
s n e s,1
s i e,1
s h o u,1
r t o,1
r i n g p a r,1
r i n g a,1
r e p,1
r e d,1
r b o a,1
p e d _,1
o w d e r p,1
o u l s,1
o u g h t,1
o t,1
o s s r,1
o r n c,1
o r l d w,1
o o k b i,1
o o f r,1
o n g u e t,1
o n e,1
o i n g,1
o e s,1
o c l,1
o b g,1
n p i,1
n p e,1
n l a,1
n i o,1
n g p i,1
n g e f i,1
n e d,1
n d s c r e e n w i,1
n d e,1
n d a,1
n b o,1
m p u,1
m i n g,1
m e d,1
l p o o,1
l h o,1
l h a u,1
l f u,1
l f i,1
l e d _ p,1
l a y e r p,1
l _ a u x i,1
k y s,1
k r a,1
k m a r,1
k c,1
i t u d,1
i t r,1
i t p,1
i n k s,1
i n k i n g,1
i n g w i,1
i n g t,1
i n g i n,1
i n g _ t,1
i n e c,1
i l,1
i g,1
i e s _,1
i e d _,1
i e _,1
i d _,1
i a t,1
h t g,1
h s,1
h o p s,1
g n,1
g l i n,1
g g i n,1
g g a,1
g e s t a,1
f a,1
e t y f,1
e t a r i,1
e t a b l,1
e s _ t,1
e r t,1
e r i,1
e r f l o w,1
e r b,1
e p i p,1
e o m,1
e n s,1
e m e,1
e l l w,1
e l f s,1
e h o l,1
e g o,1
e e p y c r,1
e d d,1
e d _ t,1
e b r i d g,1
e a r j e,1
e a r d,1
e a m s,1
e _ t,1
d s _,1
d n,1
d i n g _,1
d e r n,1
d e d,1
d d e,1
d _ r a i,1
c k a,1
c h u,1
c h i n g,1
c h e s,1
c h a,1
b w e,1
b i t b,1
a y _,1
a v i n g,1
a v e s,1
a t i v,1
a r w,1
a n g i,1
a l r,1
a l f h,1
a k s _,1
a k i n g _,1
a k _,1
a i n _,1
a _ t o b,1
_ y,1
_ t e l e,1
