sound_id,tier,value
!,segmental,!
"""",segmental,""""
$,segmental,$
%,segmental,%
&,segmental,&
',segmental,'
(,segmental,(
),segmental,)
*,segmental,*
+,segmental,+
",",segmental,","
-,segmental,-
.,segmental,.
/,segmental,/
0,segmental,0
1,segmental,1
2,segmental,2
3,segmental,3
4,segmental,4
5,segmental,5
6,segmental,6
7,segmental,7
8,segmental,8
9,segmental,9
:,segmental,:
;,segmental,;
=,segmental,=
?,segmental,?
@,segmental,@
A,segmental,A
B,segmental,B
C,segmental,C
D,segmental,D
E,segmental,E
F,segmental,F
G,segmental,G
H,segmental,H
I,segmental,I
J,segmental,J
K,segmental,K
L,segmental,L
M,segmental,M
N,segmental,N
O,segmental,O
P,segmental,P
Q,segmental,Q
R,segmental,R
S,segmental,S
T,segmental,T
U,segmental,U
V,segmental,V
W,segmental,W
X,segmental,X
Y,segmental,Y
Z,segmental,Z
`,segmental,`
a,segmental,a
b,segmental,b
c,segmental,c
d,segmental,d
e,segmental,e
f,segmental,f
g,segmental,g
h,segmental,h
i,segmental,i
j,segmental,j
k,segmental,k
l,segmental,l
m,segmental,m
n,segmental,n
o,segmental,o
p,segmental,p
q,segmental,q
r,segmental,r
s,segmental,s
t,segmental,t
u,segmental,u
v,segmental,v
w,segmental,w
x,segmental,x
y,segmental,y
z,segmental,z
¢,segmental,¢
£,segmental,£
²,segmental,²
³,segmental,³
µ,segmental,µ
½,segmental,½
Ä,segmental,Ä
Å,segmental,Å
Æ,segmental,Æ
Þ,segmental,Þ
ß,segmental,ß
à,segmental,à
á,segmental,á
â,segmental,â
ã,segmental,ã
ä,segmental,ä
å,segmental,å
æ,segmental,æ
ç,segmental,ç
è,segmental,è
é,segmental,é
ê,segmental,ê
ë,segmental,ë
ì,segmental,ì
í,segmental,í
î,segmental,î
ï,segmental,ï
ð,segmental,ð
ñ,segmental,ñ
ò,segmental,ò
ó,segmental,ó
ô,segmental,ô
õ,segmental,õ
ö,segmental,ö
ø,segmental,ø
ù,segmental,ù
ú,segmental,ú
û,segmental,û
ü,segmental,ü
ý,segmental,ý
þ,segmental,þ
ā,segmental,ā
ċ,segmental,ċ
Č,segmental,Č
č,segmental,č
ē,segmental,ē
ğ,segmental,ğ
ī,segmental,ī
ı,segmental,ı
Ł,segmental,Ł
ń,segmental,ń
ō,segmental,ō
ő,segmental,ő
Œ,segmental,Œ
œ,segmental,œ
ř,segmental,ř
Ś,segmental,Ś
ś,segmental,ś
Š,segmental,Š
š,segmental,š
ū,segmental,ū
ű,segmental,ű
ŵ,segmental,ŵ
ż,segmental,ż
Ž,segmental,Ž
ž,segmental,ž
ʟ,segmental,ʟ
ʻ,segmental,ʻ
ʼ,segmental,ʼ
ʾ,segmental,ʾ
̍,segmental,̍
̥,segmental,̥
α,segmental,α
β,segmental,β
γ,segmental,γ
δ,segmental,δ
θ,segmental,θ
μ,segmental,μ
ν,segmental,ν
π,segmental,π
σ,segmental,σ
ḍ,segmental,ḍ
Ḥ,segmental,Ḥ
ḥ,segmental,ḥ
ḳ,segmental,ḳ
ṃ,segmental,ṃ
ṅ,segmental,ṅ
ṇ,segmental,ṇ
Ṛ,segmental,Ṛ
ṛ,segmental,ṛ
ṣ,segmental,ṣ
ṭ,segmental,ṭ
ṳ,segmental,ṳ
’,segmental,’
′,segmental,′
₁,segmental,₁
₂,segmental,₂
−,segmental,−
♭,segmental,♭
♯,segmental,♯
